#Userid,FolloweeList
5461,4681
5461,6143
5461,1012
5461,992
5461,4998
5461,2877
5461,1187
5461,5678
5461,2134
5461,1138
5461,6054
147,4623
147,4135
147,5314
147,6703
147,4916
147,1002
147,1840
147,6555
147,4484
147,3715
147,4965
147,6535
147,1708
147,6744
147,682
147,63
147,174
147,1021
147,3451
5934,2546
5934,3439
5934,1708
5934,6641
5934,1840
5934,3873
5934,968
5934,6725
5934,4134
1633,692
1633,1187
1633,2877
1633,6274
857,NA
1713,NA
3567,5528
3567,6274
3567,6143
3567,3553
3567,5244
3567,4271
3567,3547
3567,2051
3567,2009
3567,1187
3567,3066
3567,5294
3567,4838
3567,1138
3567,1677
3567,1629
3567,3411
4524,1756
4524,3619
2617,NA
1831,NA
401,NA
506,NA
6084,2862
6084,4942
6084,5512
6084,5607
6084,674
6084,168
6084,1519
4295,2006
4295,5528
4295,4271
4295,6274
4295,2955
4295,5977
4295,4915
4295,1064
4295,6143
4295,5548
4295,494
4295,3635
4295,3198
4295,1677
4295,6054
4295,48
1830,4712
1830,6729
1830,6725
871,6725
871,6143
871,2544
871,632
871,2373
871,922
871,4965
871,2274
871,1282
871,1708
871,2672
1121,494
5148,4965
5148,174
5377,6555
5377,3373
5377,6786
5377,6699
5377,6035
5377,174
5377,6512
5377,6725
5377,5314
5377,2310
5377,2871
5377,2949
5377,3191
5377,265
5377,5932
5377,4889
5377,5280
5377,338
5377,1763
5377,5707
5377,6116
5377,3402
5377,1805
5377,6535
1925,6725
2709,5607
2709,1840
2709,1708
2416,2412
2416,6725
493,1086
493,6503
493,6853
3403,2263
3403,4365
3403,1844
1866,1708
4514,4271
4514,894
4514,3066
4514,494
1571,NA
2134,4519
2134,434
2134,992
2134,4437
2134,2151
2134,148
2134,4262
2134,5848
2134,1402
2134,405
2134,4143
2134,3173
2134,80
2134,2733
2134,708
2134,6806
2134,4902
2134,5745
2134,2290
2134,4915
2134,4791
2134,5829
2134,4681
2134,155
2134,3066
2134,6127
2134,6395
2134,6143
2134,3969
2134,1650
2134,6853
2134,6577
2134,6310
2134,3703
2134,5182
2134,3635
2134,5184
2134,6163
2134,3749
2134,4245
2134,4188
2134,6448
2134,48
2134,649
2134,6849
2134,5405
2134,1519
2134,2063
2134,1677
2134,5147
2134,6446
2134,4343
2134,1599
2134,4794
2134,4569
2134,2550
2134,6492
2134,4271
2134,2703
2134,5893
2134,1950
2134,3327
2134,3806
2134,5863
2134,3433
2134,1064
2134,176
2134,549
2134,4377
2134,6503
2134,2457
2134,1913
2134,2363
2134,569
2134,6033
2134,1187
2134,823
2134,929
2134,2350
2134,6773
2134,2006
2134,4263
2134,512
2134,3063
2134,1125
2134,2708
2134,209
2134,2781
2134,5773
2134,6370
2134,1041
2134,2083
2134,4818
2134,6138
2134,1138
2134,692
2134,5279
2134,806
2134,5799
2134,1506
2134,5444
2134,6333
2134,2537
2134,1208
2134,5087
2134,6054
6560,5528
6560,6831
6560,155
6560,6274
6560,6446
6560,655
6560,4397
6560,663
6560,6143
6560,6539
6560,6503
6560,148
6560,1417
6560,4681
6560,4682
6560,2670
6560,6577
6560,4271
6560,5848
6560,5893
6560,3438
6560,5682
6560,692
6560,3527
6560,3635
6560,6138
6560,2877
6560,1187
6560,4166
6560,2644
6560,80
6560,6565
6560,5279
6560,4818
6560,4991
6560,1913
6560,1974
6560,549
6560,6806
6560,3189
6560,3531
6560,4902
6560,5228
6560,6288
6560,2974
6560,2955
6560,3627
6560,1402
6560,3296
6560,770
6560,5123
6560,4794
6560,5147
6560,5855
6560,6054
2896,1499
2896,1708
48,48
63,63
80,80
148,148
155,155
168,168
174,174
176,176
209,209
265,265
338,338
405,405
434,434
494,494
512,512
549,549
569,569
632,632
649,649
655,655
663,663
674,674
682,682
692,692
708,708
770,770
806,806
823,823
894,894
922,922
929,929
968,968
992,992
1002,1002
1012,1012
1021,1021
1041,1041
1064,1064
1086,1086
1125,1125
1138,1138
1187,1187
1208,1208
1282,1282
1402,1402
1417,1417
1499,1499
1506,1506
1519,1519
1599,1599
1629,1629
1650,1650
1677,1677
1708,1708
1756,1756
1763,1763
1805,1805
1840,1840
1844,1844
1913,1913
1950,1950
1974,1974
2006,2006
2009,2009
2051,2051
2063,2063
2083,2083
2151,2151
2263,2263
2274,2274
2290,2290
2310,2310
2350,2350
2363,2363
2373,2373
2412,2412
2457,2457
2537,2537
2544,2544
2546,2546
2550,2550
2644,2644
2670,2670
2672,2672
2703,2703
2708,2708
2733,2733
2781,2781
2862,2862
2871,2871
2877,2877
2949,2949
2955,2955
2974,2974
3063,3063
3066,3066
3173,3173
3189,3189
3191,3191
3198,3198
3296,3296
3327,3327
3373,3373
3402,3402
3411,3411
3433,3433
3438,3438
3439,3439
3451,3451
3527,3527
3531,3531
3547,3547
3553,3553
3619,3619
3627,3627
3635,3635
3703,3703
3715,3715
3749,3749
3806,3806
3873,3873
3969,3969
4134,4134
4135,4135
4143,4143
4166,4166
4188,4188
4245,4245
4262,4262
4263,4263
4271,4271
4343,4343
4365,4365
4377,4377
4397,4397
4437,4437
4484,4484
4519,4519
4569,4569
4623,4623
4681,4681
4682,4682
4712,4712
4791,4791
4794,4794
4818,4818
4838,4838
4889,4889
4902,4902
4915,4915
4916,4916
4942,4942
4965,4965
4991,4991
4998,4998
5087,5087
5123,5123
5147,5147
5182,5182
5184,5184
5228,5228
5244,5244
5279,5279
5280,5280
5294,5294
5314,5314
5405,5405
5444,5444
5512,5512
5528,5528
5548,5548
5607,5607
5678,5678
5682,5682
5707,5707
5745,5745
5773,5773
5799,5799
5829,5829
5848,5848
5855,5855
5863,5863
5893,5893
5932,5932
5977,5977
6033,6033
6035,6035
6054,6054
6116,6116
6127,6127
6138,6138
6143,6143
6163,6163
6274,6274
6288,6288
6310,6310
6333,6333
6370,6370
6395,6395
6446,6446
6448,6448
6492,6492
6503,6503
6512,6512
6535,6535
6539,6539
6555,6555
6565,6565
6577,6577
6641,6641
6699,6699
6703,6703
6725,6725
6729,6729
6744,6744
6773,6773
6786,6786
6806,6806
6831,6831
6849,6849
6853,6853