X.Userid,Religion
48,Christianity
63,Buddhism
80,Christianity
147,Buddhism
148,Christianity
155,Christianity
168,Christianity
174,Buddhism
176,Christianity
209,Christianity
265,Buddhism
338,Buddhism
401,Buddhism
405,Christianity
434,Christianity
493,Christianity
494,Christianity
506,Buddhism
512,Christianity
549,Christianity
569,Christianity
632,Buddhism
649,Christianity
655,Christianity
663,Christianity
674,Islam
682,Buddhism
692,Christianity
708,Christianity
770,Christianity
806,Christianity
823,Christianity
857,Buddhism
871,Buddhism
894,Christianity
922,Buddhism
929,Christianity
968,Buddhism
992,Christianity
1002,Buddhism
1012,Christianity
1021,Buddhism
1041,Christianity
1064,Christianity
1086,Christianity
1121,Christianity
1125,Christianity
1138,Christianity
1187,Christianity
1208,Christianity
1282,Islam
1402,Christianity
1417,Christianity
1499,Taoism
1506,Christianity
1519,Christianity
1571,Islam
1599,Christianity
1629,Christianity
1633,Christianity
1650,Christianity
1677,Christianity
1708,Buddhism
1713,Buddhism
1756,Islam
1763,Buddhism
1805,Buddhism
1830,Christianity
1831,Buddhism
1840,Buddhism
1844,Islam
1866,Buddhism
1913,Christianity
1925,Buddhism
1950,Christianity
1974,Christianity
2006,Christianity
2009,Christianity
2051,Christianity
2063,Christianity
2083,Christianity
2134,Christianity
2151,Christianity
2263,Islam
2274,Buddhism
2290,Christianity
2310,Buddhism
2350,Christianity
2363,Christianity
2373,Buddhism
2412,Christianity
2416,Christianity
2457,Christianity
2537,Christianity
2544,Christianity
2546,Buddhism
2550,Christianity
2617,Buddhism
2644,Christianity
2670,Christianity
2672,Buddhism
2703,Christianity
2708,Christianity
2709,Buddhism
2733,Christianity
2781,Christianity
2862,Christianity
2871,Buddhism
2877,Christianity
2896,Taoism
2949,Buddhism
2955,Christianity
2974,Christianity
3063,Christianity
3066,Christianity
3173,Christianity
3189,Christianity
3191,Buddhism
3198,Christianity
3296,Christianity
3327,Christianity
3373,Buddhism
3402,Buddhism
3403,Islam
3411,Christianity
3433,Christianity
3438,Christianity
3439,Buddhism
3451,Buddhism
3527,Christianity
3531,Christianity
3547,Christianity
3553,Christianity
3567,Christianity
3619,Islam
3627,Christianity
3635,Christianity
3703,Christianity
3715,Buddhism
3749,Christianity
3806,Christianity
3873,Buddhism
3969,Christianity
4134,Buddhism
4135,Buddhism
4143,Christianity
4166,Christianity
4188,Christianity
4245,Christianity
4262,Christianity
4263,Christianity
4271,Christianity
4295,Christianity
4343,Christianity
4365,Islam
4377,Christianity
4397,Christianity
4437,Christianity
4484,Buddhism
4514,Christianity
4519,Christianity
4524,Islam
4569,Christianity
4623,Buddhism
4681,Christianity
4682,Christianity
4712,Christianity
4791,Christianity
4794,Christianity
4818,Christianity
4838,Christianity
4889,Buddhism
4902,Christianity
4915,Christianity
4916,Buddhism
4942,Taoism
4965,Buddhism
4991,Christianity
4998,Christianity
5087,Christianity
5123,Christianity
5147,Christianity
5148,Buddhism
5182,Christianity
5184,Christianity
5228,Christianity
5244,Christianity
5279,Christianity
5280,Buddhism
5294,Christianity
5314,Buddhism
5377,Buddhism
5405,Christianity
5444,Christianity
5461,Christianity
5512,Christianity
5528,Christianity
5548,Christianity
5607,Taoism
5678,Christianity
5682,Christianity
5707,Buddhism
5745,Christianity
5773,Christianity
5799,Christianity
5829,Christianity
5848,Christianity
5855,Christianity
5863,Christianity
5893,Christianity
5932,Buddhism
5934,Buddhism
5977,Christianity
6033,Christianity
6035,Buddhism
6054,Christianity
6084,Christianity
6116,Buddhism
6127,Christianity
6138,Christianity
6143,Christianity
6163,Christianity
6274,Christianity
6288,Christianity
6310,Christianity
6333,Christianity
6370,Christianity
6395,Christianity
6446,Christianity
6448,Christianity
6492,Christianity
6503,Christianity
6512,Buddhism
6535,Buddhism
6539,Christianity
6555,Buddhism
6560,Christianity
6565,Christianity
6577,Christianity
6641,Buddhism
6699,Buddhism
6703,Buddhism
6725,Buddhism
6729,Christianity
6744,Buddhism
6773,Christianity
6786,Buddhism
6806,Christianity
6831,Christianity
6849,Christianity
6853,Christianity